Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5030.0 | Tempo Decorrido: 0.0005s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 5030.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 4925.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 4925.0 | Tempo Decorrido: 0.0022s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0028s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0033s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0039s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0045s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0051s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4840.0 | Tempo Decorrido: 0.0057s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0062s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0068s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0073s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0079s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0084s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0089s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0095s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0100s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0106s
Ciclo 0019 | Temp: 3773.54 | Melhor Custo: 4763.0 | Tempo Decorrido: 0.0111s
Ciclo 0020 | Temp: 3584.86 | Melhor Custo: 4750.0 | Tempo Decorrido: 0.0117s
Ciclo 0021 | Temp: 3405.62 | Melhor Custo: 4750.0 | Tempo Decorrido: 0.0122s
Ciclo 0022 | Temp: 3235.34 | Melhor Custo: 4750.0 | Tempo Decorrido: 0.0128s
Ciclo 0023 | Temp: 3073.57 | Melhor Custo: 4750.0 | Tempo Decorrido: 0.0134s
Ciclo 0024 | Temp: 2919.89 | Melhor Custo: 4750.0 | Tempo Decorrido: 0.0139s
Ciclo 0025 | Temp: 2773.90 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0144s
Ciclo 0026 | Temp: 2635.20 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0149s
Ciclo 0027 | Temp: 2503.44 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0155s
Ciclo 0028 | Temp: 2378.27 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0160s
Ciclo 0029 | Temp: 2259.36 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0165s
Ciclo 0030 | Temp: 2146.39 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0170s
Ciclo 0031 | Temp: 2039.07 | Melhor Custo: 4647.0 | Tempo Decorrido: 0.0175s
