Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5122.0 | Tempo Decorrido: 0.0005s
Ciclo 0001 | Temp: 9500.00 | Melhor Custo: 5082.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9025.00 | Melhor Custo: 5082.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 8573.75 | Melhor Custo: 5082.0 | Tempo Decorrido: 0.0025s
Ciclo 0004 | Temp: 8145.06 | Melhor Custo: 5010.0 | Tempo Decorrido: 0.0032s
Ciclo 0005 | Temp: 7737.81 | Melhor Custo: 5010.0 | Tempo Decorrido: 0.0039s
Ciclo 0006 | Temp: 7350.92 | Melhor Custo: 5010.0 | Tempo Decorrido: 0.0045s
Ciclo 0007 | Temp: 6983.37 | Melhor Custo: 5010.0 | Tempo Decorrido: 0.0051s
Ciclo 0008 | Temp: 6634.20 | Melhor Custo: 4798.0 | Tempo Decorrido: 0.0057s
Ciclo 0009 | Temp: 6302.49 | Melhor Custo: 4798.0 | Tempo Decorrido: 0.0063s
Ciclo 0010 | Temp: 5987.37 | Melhor Custo: 4798.0 | Tempo Decorrido: 0.0069s
Ciclo 0011 | Temp: 5688.00 | Melhor Custo: 4582.0 | Tempo Decorrido: 0.0076s
Ciclo 0012 | Temp: 5403.60 | Melhor Custo: 4582.0 | Tempo Decorrido: 0.0082s
Ciclo 0013 | Temp: 5133.42 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0088s
Ciclo 0014 | Temp: 4876.75 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0095s
Ciclo 0015 | Temp: 4632.91 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0101s
Ciclo 0016 | Temp: 4401.27 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0109s
Ciclo 0017 | Temp: 4181.20 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0115s
Ciclo 0018 | Temp: 3972.14 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0121s
Ciclo 0019 | Temp: 3773.54 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0127s
Ciclo 0020 | Temp: 3584.86 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0134s
Ciclo 0021 | Temp: 3405.62 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0140s
Ciclo 0022 | Temp: 3235.34 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0146s
Ciclo 0023 | Temp: 3073.57 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0152s
Ciclo 0024 | Temp: 2919.89 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0158s
Ciclo 0025 | Temp: 2773.90 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0166s
Ciclo 0026 | Temp: 2635.20 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0174s
Ciclo 0027 | Temp: 2503.44 | Melhor Custo: 4502.0 | Tempo Decorrido: 0.0180s
