Ciclo 0000 | Temp: 10000.00 | Melhor Custo: 5113.0 | Tempo Decorrido: 0.0006s
Ciclo 0001 | Temp: 9950.00 | Melhor Custo: 5113.0 | Tempo Decorrido: 0.0011s
Ciclo 0002 | Temp: 9900.25 | Melhor Custo: 5113.0 | Tempo Decorrido: 0.0017s
Ciclo 0003 | Temp: 9850.75 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0022s
Ciclo 0004 | Temp: 9801.50 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0027s
Ciclo 0005 | Temp: 9752.49 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0032s
Ciclo 0006 | Temp: 9703.73 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0037s
Ciclo 0007 | Temp: 9655.21 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0043s
Ciclo 0008 | Temp: 9606.93 | Melhor Custo: 4761.0 | Tempo Decorrido: 0.0049s
Ciclo 0009 | Temp: 9558.90 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0054s
Ciclo 0010 | Temp: 9511.10 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0060s
Ciclo 0011 | Temp: 9463.55 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0065s
Ciclo 0012 | Temp: 9416.23 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0071s
Ciclo 0013 | Temp: 9369.15 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0076s
Ciclo 0014 | Temp: 9322.30 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0081s
Ciclo 0015 | Temp: 9275.69 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0087s
Ciclo 0016 | Temp: 9229.31 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0092s
Ciclo 0017 | Temp: 9183.16 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0097s
Ciclo 0018 | Temp: 9137.25 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0103s
Ciclo 0019 | Temp: 9091.56 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0108s
Ciclo 0020 | Temp: 9046.10 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0113s
Ciclo 0021 | Temp: 9000.87 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0120s
Ciclo 0022 | Temp: 8955.87 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0126s
Ciclo 0023 | Temp: 8911.09 | Melhor Custo: 4490.0 | Tempo Decorrido: 0.0131s
